Year,1,2,3,4
2024,6246177985.44,5005325115.0,1249235597.088,1001065023.0
2025,3039840.0,4772250.0,1121940517.34304,915267605.49
2026,3039840.0,4772250.0,1016388955.7147232,844218005.4567
2027,3039840.0,4772250.0,928884514.1232201,785409093.9290609
2028,3039840.0,4772250.0,856359182.1622727,736759953.8611206
2029,3039840.0,4772250.0,3039840.0,4772250.0
2030,3039840.0,4772250.0,3039840.0,4772250.0
2031,3039840.0,4772250.0,3039840.0,4772250.0
2032,3039840.0,4772250.0,3039840.0,4772250.0
2033,3039840.0,4772250.0,3039840.0,4772250.0
2034,3039840.0,4772250.0,3039840.0,4772250.0
2035,3039840.0,4772250.0,3039840.0,4772250.0
2036,3039840.0,4772250.0,3039840.0,4772250.0
2037,3039840.0,4772250.0,3039840.0,4772250.0
2038,3039840.0,4772250.0,3039840.0,4772250.0
2039,3039840.0,4772250.0,3039840.0,4772250.0
2040,3039840.0,4772250.0,3039840.0,4772250.0
2041,3039840.0,4772250.0,3039840.0,4772250.0
2042,3039840.0,4772250.0,3039840.0,4772250.0
2043,3039840.0,4772250.0,3039840.0,4772250.0
2044,3039840.0,4772250.0,3039840.0,4772250.0
2045,3039840.0,4772250.0,3039840.0,4772250.0
2046,3039840.0,4772250.0,3039840.0,4772250.0
2047,3039840.0,4772250.0,3039840.0,4772250.0
2048,3039840.0,4772250.0,3039840.0,4772250.0
2049,3039840.0,4772250.0,3039840.0,4772250.0
2050,3039840.0,4772250.0,3039840.0,4772250.0
2051,3039840.0,4772250.0,3039840.0,4772250.0
2052,3039840.0,4772250.0,3039840.0,4772250.0
2053,3039840.0,4772250.0,3039840.0,4772250.0
2054,3039840.0,4772250.0,3039840.0,4772250.0
